,url_topic,topic_words
302,chapel-hill-nc,chapel hill nc
303,charleston-il,charleston il
304,charleston-sc,charleston sc
305,charleston-wv,charleston wv
306,charlotte-nc,charlotte nc
307,charlottesville-va,charlottesville va
308,chaska-mn,chaska mn
309,chattanooga-tn,chattanooga tn
310,chelsea-ma,chelsea ma
311,chesapeake-va,chesapeake va
312,chesterfield-mo,chesterfield mo
313,chester-pa,chester pa
314,cheyenne-wy,cheyenne wy
315,chicago-heights-il,chicago heights il
316,chicago-il,chicago il
317,chickasha-ok,chickasha ok
318,chico-ca,chico ca
319,chicopee-ma,chicopee ma
320,chillicothe-oh,chillicothe oh
321,chino-ca,chino ca
322,chino-hills-ca,chino hills ca
323,chowchilla-ca,chowchilla ca
324,christiansburg-va,christiansburg va
325,chula-vista-ca,chula vista ca
326,cicero-il,cicero il
327,cincinnati-oh,cincinnati oh
328,citrus-heights-ca,citrus heights ca
329,claremont-ca,claremont ca
330,claremore-ok,claremore ok
331,clarksdale-ms,clarksdale ms
332,clarksville-in,clarksville in
333,clarksville-tn,clarksville tn
334,clearfield-ut,clearfield ut
335,clearwater-fl,clearwater fl
336,cleburne-tx,cleburne tx
337,clemmons-nc,clemmons nc
338,cleveland-heights-oh,cleveland heights oh
339,cleveland-oh,cleveland oh
340,cleveland-tn,cleveland tn
341,cliffside-park-nj,cliffside park nj
342,clifton-nj,clifton nj
343,clinton-ia,clinton ia
344,clinton-ms,clinton ms
345,clinton-ut,clinton ut
346,clovis-ca,clovis ca
347,clovis-nm,clovis nm
348,coachella-ca,coachella ca
349,coalinga-ca,coalinga ca
350,coconut-creek-fl,coconut creek fl
351,coeur-dalene-id,coeur dalene id
352,college-park-ga,college park ga
353,college-park-md,college park md
354,college-station-tx,college station tx
355,colleyville-tx,colleyville tx
356,collierville-tn,collierville tn
357,collinsville-il,collinsville il
358,colonial-heights-va,colonial heights va
359,colorado-springs-co,colorado springs co
360,colton-ca,colton ca
361,columbia-heights-mn,columbia heights mn
362,columbia-mo,columbia mo
363,columbia-sc,columbia sc
364,columbia-tn,columbia tn
365,columbus-ga,columbus ga
366,columbus-in,columbus in
367,columbus-ms,columbus ms
368,columbus-ne,columbus ne
369,columbus-oh,columbus oh
370,commerce-city-co,commerce city co
371,compton-ca,compton ca
372,concord-ca,concord ca
373,concord-nc,concord nc
374,concord-nh,concord nh
375,conroe-tx,conroe tx
376,converse-tx,converse tx
377,conway-ar,conway ar
378,cookeville-tn,cookeville tn
379,coon-rapids-mn,coon rapids mn
380,cooper-city-fl,cooper city fl
381,coppell-tx,coppell tx
382,copperas-cove-tx,copperas cove tx
383,coral-gables-fl,coral gables fl
384,coral-springs-fl,coral springs fl
385,coralville-ia,coralville ia
386,corcoran-ca,corcoran ca
387,corinth-tx,corinth tx
388,cornelius-nc,cornelius nc
389,corona-ca,corona ca
390,coronado-ca,coronado ca
391,corpus-christi-tx,corpus christi tx
392,corsicana-tx,corsicana tx
393,cortland-ny,cortland ny
394,corvallis-or,corvallis or
395,costa-mesa-ca,costa mesa ca
396,cottage-grove-mn,cottage grove mn
397,cottonwood-heights-ut,cottonwood heights ut
398,council-bluffs-ia,council bluffs ia
399,covina-ca,covina ca
400,covington-ky,covington ky
401,covington-wa,covington wa
402,cranston-ri,cranston ri
403,crest-hill-il,crest hill il
404,crestview-fl,crestview fl
405,creve-coeur-mo,creve coeur mo
406,crown-point-in,crown point in
407,crystal-lake-il,crystal lake il
408,crystal-mn,crystal mn
409,cudahy-ca,cudahy ca
410,cudahy-wi,cudahy wi
411,culver-city-ca,culver city ca
412,cumberland-md,cumberland md
413,cupertino-ca,cupertino ca
414,cutler-bay-fl,cutler bay fl
415,cuyahoga-falls-oh,cuyahoga falls oh
416,cypress-ca,cypress ca
417,dade-city-fl,dade city fl
418,dallas-tx,dallas tx
419,dalton-ga,dalton ga
420,daly-city-ca,daly city ca
421,dana-point-ca,dana point ca
422,danbury-ct,danbury ct
423,dania-beach-fl,dania beach fl
424,danville-ca,danville ca
425,danville-il,danville il
426,danville-va,danville va
427,daphne-al,daphne al
428,darien-il,darien il
429,davenport-ia,davenport ia
430,davie-fl,davie fl
431,davis-ca,davis ca
432,daytona-beach-fl,daytona beach fl
433,dayton-oh,dayton oh
434,dearborn-heights-mi,dearborn heights mi
435,dearborn-mi,dearborn mi
436,decatur-al,decatur al
437,decatur-ga,decatur ga
438,decatur-il,decatur il
439,deerfield-beach-fl,deerfield beach fl
440,deerfield-il,deerfield il
441,deer-park-tx,deer park tx
442,dekalb-il,dekalb il
443,de-land-fl,de land fl
444,delano-ca,delano ca
445,delaware-oh,delaware oh
446,del-city-ok,del city ok
447,delray-beach-fl,delray beach fl
448,del-rio-tx,del rio tx
449,deltona-fl,deltona fl
450,denison-tx,denison tx
451,denton-tx,denton tx
452,denver-co,denver co
453,de-pere-wi,de pere wi
454,derby-ks,derby ks
455,desert-hot-springs-ca,desert hot springs ca
456,des-moines-ia,des moines ia
457,des-moines-wa,des moines wa
458,desoto-tx,desoto tx
459,des-plaines-il,des plaines il
460,detroit-mi,detroit mi
461,diamond-bar-ca,diamond bar ca
462,dickinson-tx,dickinson tx
463,dinuba-ca,dinuba ca
464,disclaimer-back-up,disclaimer back up
465,dixon-ca,dixon ca
466,dodge-city-ks,dodge city ks
467,dolton-il,dolton il
468,donna-tx,donna tx
469,doral-fl,doral fl
470,dothan-al,dothan al
471,douglas-az,douglas az
472,douglasville-ga,douglasville ga
473,dover-de,dover de
474,dover-nh,dover nh
475,dover-nj,dover nj
476,downers-grove-il,downers grove il
477,downey-ca,downey ca
478,draper-ut,draper ut
479,duarte-ca,duarte ca
480,dublin-ca,dublin ca
481,dublin-ga,dublin ga
482,dublin-oh,dublin oh
483,dubuque-ia,dubuque ia
484,duluth-ga,duluth ga
485,duluth-mn,duluth mn
486,dumont-nj,dumont nj
487,duncan-ok,duncan ok
488,duncanville-tx,duncanville tx
489,dunedin-fl,dunedin fl
490,durant-ok,durant ok
491,durham-nc,durham nc
492,dyersburg-tn,dyersburg tn
493,eagan-mn,eagan mn
494,eagle-id,eagle id
495,eagle-mountain-ut,eagle mountain ut
496,eagle-pass-tx,eagle pass tx
497,easley-sc,easley sc
498,east-chicago-in,east chicago in
499,east-cleveland-oh,east cleveland oh
500,eastlake-oh,eastlake oh
501,east-lansing-mi,east lansing mi
502,east-moline-il,east moline il
503,easton-pa,easton pa
504,east-orange-nj,east orange nj
505,east-palo-alto-ca,east palo alto ca
506,east-peoria-il,east peoria il
507,eastpointe-mi,eastpointe mi
508,east-point-ga,east point ga
509,east-providence-ri,east providence ri
510,east-ridge-tn,east ridge tn
511,east-st-louis-il,east st louis il
512,eau-claire-wi,eau claire wi
513,eden-prairie-mn,eden prairie mn
514,edgewater-fl,edgewater fl
515,edina-mn,edina mn
516,edinburg-tx,edinburg tx
517,edmond-ok,edmond ok
518,edmonds-wa,edmonds wa
519,edwardsville-il,edwardsville il
520,el-cajon-ca,el cajon ca
521,el-centro-ca,el centro ca
522,el-cerrito-ca,el cerrito ca
523,el-dorado-ar,el dorado ar
524,elgin-il,elgin il
525,elizabeth-city-nc,elizabeth city nc
526,elizabeth-nj,elizabeth nj
527,elizabethtown-ky,elizabethtown ky
528,elk-grove-ca,elk grove ca
529,elk-grove-village-il,elk grove village il
530,elkhart-in,elkhart in
531,elko-nv,elko nv
532,elk-river-mn,elk river mn
533,ellensburg-wa,ellensburg wa
534,elmhurst-il,elmhurst il
535,el-mirage-az,el mirage az
536,elmira-ny,elmira ny
537,el-monte-ca,el monte ca
538,elmwood-park-il,elmwood park il
539,elmwood-park-nj,elmwood park nj
540,el-paso-tx,el paso tx
541,el-reno-ok,el reno ok
542,el-segundo-ca,el segundo ca
543,elyria-oh,elyria oh
544,emporia-ks,emporia ks
545,encinitas-ca,encinitas ca
546,englewood-co,englewood co
547,englewood-nj,englewood nj
548,enid-ok,enid ok
549,ennis-tx,ennis tx
550,enterprise-al,enterprise al
551,erie-co,erie co
552,erie-pa,erie pa
553,erlanger-ky,erlanger ky
554,escondido-ca,escondido ca
555,euclid-oh,euclid oh
556,eugene-or,eugene or
557,euless-tx,euless tx
558,eureka-ca,eureka ca
559,eustis-fl,eustis fl
560,evans-co,evans co
561,evanston-il,evanston il
562,evansville-in,evansville in
563,everett-ma,everett ma
564,everett-wa,everett wa
565,evergreen-park-il,evergreen park il
566,fairbanks-ak,fairbanks ak
