,url_topic,topic_words
1678,sheridan-wy,sheridan wy
1679,sherman-tx,sherman tx
1680,sherwood-ar,sherwood ar
1681,sherwood-or,sherwood or
1682,shoreline-wa,shoreline wa
1683,shoreview-mn,shoreview mn
1684,shreveport-la,shreveport la
1685,sidney-oh,sidney oh
1686,sierra-vista-az,sierra vista az
1687,sikeston-mo,sikeston mo
1688,simi-valley-ca,simi valley ca
1689,simpsonville-sc,simpsonville sc
1690,sioux-city-ia,sioux city ia
1691,sioux-falls-sd,sioux falls sd
1692,skokie-il,skokie il
1693,slidell-la,slidell la
1694,smyrna-ga,smyrna ga
1695,smyrna-tn,smyrna tn
1696,snellville-ga,snellville ga
1697,socorro-tx,socorro tx
1698,soledad-ca,soledad ca
1699,solon-oh,solon oh
1700,somerville-ma,somerville ma
1701,southaven-ms,southaven ms
1702,south-bend-in,south bend in
1703,south-burlington-vt,south burlington vt
1704,south-elgin-il,south elgin il
1705,south-el-monte-ca,south el monte ca
1706,south-euclid-oh,south euclid oh
1707,southfield-mi,southfield mi
1708,south-gate-ca,south gate ca
1709,southgate-mi,southgate mi
1710,south-holland-il,south holland il
1711,south-jordan-ut,south jordan ut
1712,south-lake-tahoe-ca,south lake tahoe ca
1713,southlake-tx,southlake tx
1714,south-milwaukee-wi,south milwaukee wi
1715,south-pasadena-ca,south pasadena ca
1716,south-plainfield-nj,south plainfield nj
1717,south-portland-me,south portland me
1718,south-salt-lake-ut,south salt lake ut
1719,south-san-francisco-ca,south san francisco ca
1720,south-st-paul-mn,south st paul mn
1721,spanish-fork-ut,spanish fork ut
1722,sparks-nv,sparks nv
1723,spartanburg-sc,spartanburg sc
1724,spokane-valley-wa,spokane valley wa
1725,spokane-wa,spokane wa
1726,springboro-oh,springboro oh
1727,springdale-ar,springdale ar
1728,springfield-il,springfield il
1729,springfield-ma,springfield ma
1730,springfield-mo,springfield mo
1731,springfield-oh,springfield oh
1732,springfield-or,springfield or
1733,springfield-tn,springfield tn
1734,spring-hill-tn,spring hill tn
1735,spring-valley-ny,spring valley ny
1736,springville-ut,springville ut
1737,stafford-tx,stafford tx
1738,stamford-ct,stamford ct
1739,stanton-ca,stanton ca
1740,starkville-ms,starkville ms
1741,state-college-pa,state college pa
1742,statesboro-ga,statesboro ga
1743,statesville-nc,statesville nc
1744,staunton-va,staunton va
1745,stephenville-tx,stephenville tx
1746,sterling-heights-mi,sterling heights mi
1747,steubenville-oh,steubenville oh
1748,stevens-point-wi,stevens point wi
1749,stillwater-mn,stillwater mn
1750,stillwater-ok,stillwater ok
1751,st-marys-ga,st marys ga
1752,st-matthews-ky,st matthews ky
1753,stockton-ca,stockton ca
1754,stow-oh,stow oh
1755,streamwood-il,streamwood il
1756,strongsville-oh,strongsville oh
1757,suffolk-va,suffolk va
1758,sugar-hill-ga,sugar hill ga
1759,sugarland-tx,sugarland tx
1760,suisun-city-ca,suisun city ca
1761,sulphur-la,sulphur la
1762,summerville-sc,summerville sc
1763,summit-nj,summit nj
1764,sumter-sc,sumter sc
1765,sunny-isles-beach-fl,sunny isles beach fl
1766,sunnyvale-ca,sunnyvale ca
1767,sun-prairie-wi,sun prairie wi
1768,sunrise-fl,sunrise fl
1769,superior-wi,superior wi
1770,surprise-az,surprise az
1771,susanville-ca,susanville ca
1772,sycamore-il,sycamore il
1773,sylvania-oh,sylvania oh
1774,syracuse-ny,syracuse ny
1775,syracuse-ut,syracuse ut
1776,tacoma-wa,tacoma wa
1777,takoma-park-md,takoma park md
1778,tallahassee-fl,tallahassee fl
1779,tallmadge-oh,tallmadge oh
1780,tamarac-fl,tamarac fl
1781,tampa-fl,tampa fl
1782,tarpon-springs-fl,tarpon springs fl
1783,taunton-ma,taunton ma
1784,taylor-mi,taylor mi
1785,taylorsville-ut,taylorsville ut
1786,temecula-ca,temecula ca
1787,tempe-az,tempe az
1788,temple-city-ca,temple city ca
1789,temple-terrace-fl,temple terrace fl
1790,temple-tx,temple tx
1791,terre-haute-in,terre haute in
1792,terrell-tx,terrell tx
1793,texarkana-ar,texarkana ar
1794,texarkana-tx,texarkana tx
1795,texas-city-tx,texas city tx
1796,the-colony-tx,the colony tx
1797,thomasville-ga,thomasville ga
1798,thomasville-nc,thomasville nc
1799,thornton-co,thornton co
1800,thousand-oaks-ca,thousand oaks ca
1801,tiffin-oh,tiffin oh
1802,tifton-ga,tifton ga
1803,tigard-or,tigard or
1804,tinley-park-il,tinley park il
1805,tinton-falls-nj,tinton falls nj
1806,titusville-fl,titusville fl
1807,toledo-oh,toledo oh
1808,tooele-ut,tooele ut
1809,topeka-ks,topeka ks
1810,torrance-ca,torrance ca
1811,torrington-ct,torrington ct
1812,tracy-ca,tracy ca
1813,traverse-city-mi,traverse city mi
1814,trenton-mi,trenton mi
1815,trenton-nj,trenton nj
1816,trotwood-oh,trotwood oh
1817,troy-mi,troy mi
1818,troy-ny,troy ny
1819,troy-oh,troy oh
1820,trussville-al,trussville al
1821,tualatin-or,tualatin or
1822,tucson-az,tucson az
1823,tukwila-wa,tukwila wa
1824,tulare-ca,tulare ca
1825,tullahoma-tn,tullahoma tn
1826,tulsa-ok,tulsa ok
1827,tupelo-ms,tupelo ms
1828,turlock-ca,turlock ca
1829,tuscaloosa-al,tuscaloosa al
1830,tustin-ca,tustin ca
1831,twentynine-palms-ca,twentynine palms ca
1832,twin-falls-id,twin falls id
1833,twinsburg-oh,twinsburg oh
1834,tyler-tx,tyler tx
1835,union-city-ca,union city ca
1836,union-city-ga,union city ga
1837,union-city-nj,union city nj
1838,universal-city-tx,universal city tx
1839,university-city-mo,university city mo
1840,university-park-tx,university park tx
1841,university-place-wa,university place wa
1842,upland-ca,upland ca
1843,upper-arlington-oh,upper arlington oh
1844,urbana-il,urbana il
1845,urbandale-ia,urbandale ia
1846,utica-ny,utica ny
1847,vacaville-ca,vacaville ca
1848,valdosta-ga,valdosta ga
1849,vallejo-ca,vallejo ca
1850,valley-stream-ny,valley stream ny
1851,valparaiso-in,valparaiso in
1852,van-buren-ar,van buren ar
1853,vancouver-wa,vancouver wa
1854,venice-fl,venice fl
1855,vernon-hills-il,vernon hills il
1856,vero-beach-fl,vero beach fl
1857,vestavia-hills-al,vestavia hills al
1858,vicksburg-ms,vicksburg ms
1859,victoria-tx,victoria tx
1860,victorville-ca,victorville ca
1861,villa-park-il,villa park il
1862,vincennes-in,vincennes in
1863,vineland-nj,vineland nj
1864,virginia-beach-va,virginia beach va
1865,visalia-ca,visalia ca
1866,vista-ca,vista ca
1867,waco-tx,waco tx
1868,wadsworth-oh,wadsworth oh
1869,wake-forest-nc,wake forest nc
1870,walker-mi,walker mi
1871,walla-walla-wa,walla walla wa
1872,walnut-ca,walnut ca
1873,walnut-creek-ca,walnut creek ca
1874,waltham-ma,waltham ma
1875,warner-robins-ga,warner robins ga
1876,warren-mi,warren mi
1877,warren-oh,warren oh
1878,warrensburg-mo,warrensburg mo
1879,warwick-ri,warwick ri
1880,wasco-ca,wasco ca
1881,washington-dc-dc,washington dc dc
1882,washington-nc,washington nc
1883,washington-ut,washington ut
1884,watauga-tx,watauga tx
1885,waterbury-ct,waterbury ct
1886,waterloo-ia,waterloo ia
1887,watertown-ma,watertown ma
1888,watertown-ny,watertown ny
1889,watertown-sd,watertown sd
1890,watertown-wi,watertown wi
1891,watsonville-ca,watsonville ca
1892,waukegan-il,waukegan il
1893,waukesha-wi,waukesha wi
1894,wausau-wi,wausau wi
1895,wauwatosa-wi,wauwatosa wi
1896,waxahachie-tx,waxahachie tx
1897,wayne-mi,wayne mi
1898,waynesboro-va,waynesboro va
1899,weatherford-tx,weatherford tx
1900,webster-groves-mo,webster groves mo
1901,weirton-wv,weirton wv
1902,wellington-fl,wellington fl
1903,wenatchee-wa,wenatchee wa
1904,wentzville-mo,wentzville mo
1905,weslaco-tx,weslaco tx
1906,west-allis-wi,west allis wi
1907,west-bend-wi,west bend wi
1908,west-chester-pa,west chester pa
1909,west-chicago-il,west chicago il
1910,west-covina-ca,west covina ca
1911,west-des-moines-ia,west des moines ia
1912,westerville-oh,westerville oh
1913,west-fargo-nd,west fargo nd
1914,westfield-in,westfield in
1915,westfield-ma,westfield ma
1916,westfield-nj,westfield nj
1917,west-haven-ct,west haven ct
1918,west-hollywood-ca,west hollywood ca
1919,west-jordan-ut,west jordan ut
1920,west-lafayette-in,west lafayette in
1921,westlake-oh,westlake oh
1922,westland-mi,westland mi
1923,west-linn-or,west linn or
1924,west-memphis-ar,west memphis ar
1925,west-mifflin-pa,west mifflin pa
1926,westminster-ca,westminster ca
1927,westminster-co,westminster co
1928,westminster-md,westminster md
1929,westmont-il,westmont il
1930,west-new-york-nj,west new york nj
1931,weston-fl,weston fl
1932,west-palm-beach-fl,west palm beach fl
1933,west-sacramento-ca,west sacramento ca
1934,west-springfield-ma,west springfield ma
1935,west-st-paul-mn,west st paul mn
1936,west-valley-city-ut,west valley city ut
1937,wheaton-il,wheaton il
1938,wheat-ridge-co,wheat ridge co
1939,wheeling-il,wheeling il
1940,wheeling-wv,wheeling wv
1941,white-bear-lake-mn,white bear lake mn
1942,whitehall-oh,whitehall oh
1943,white-plains-ny,white plains ny
1944,whittier-ca,whittier ca
1945,wichita-falls-tx,wichita falls tx
1946,wichita-ks,wichita ks
1947,wildomar-ca,wildomar ca
1948,wildwood-mo,wildwood mo
1949,wilkes-barre-pa,wilkes barre pa
1950,wilkinsburg-pa,wilkinsburg pa
1951,williamsport-pa,williamsport pa
1952,willmar-mn,willmar mn
1953,willoughby-oh,willoughby oh
1954,wilmette-il,wilmette il
1955,wilmington-de,wilmington de
1956,wilmington-nc,wilmington nc
1957,wilson-nc,wilson nc
1958,wilsonville-or,wilsonville or
1959,winchester-ky,winchester ky
1960,winchester-va,winchester va
1961,windsor-ca,windsor ca
1962,windsor-co,windsor co
1963,winona-mn,winona mn
1964,winston-salem-nc,winston salem nc
1965,winter-garden-fl,winter garden fl
1966,winter-haven-fl,winter haven fl
1967,winter-park-fl,winter park fl
1968,winter-springs-fl,winter springs fl
1969,wisconsin-rapids-wi,wisconsin rapids wi
1970,woburn-ma,woburn ma
1971,woodburn-or,woodburn or
1972,woodbury-mn,woodbury mn
1973,woodland-ca,woodland ca
1974,woodridge-il,woodridge il
1975,woodstock-ga,woodstock ga
1976,woodstock-il,woodstock il
1977,woonsocket-ri,woonsocket ri
1978,wooster-oh,wooster oh
1979,worcester-ma,worcester ma
1980,wyandotte-mi,wyandotte mi
1981,wylie-tx,wylie tx
1982,wyoming-mi,wyoming mi
1983,xenia-oh,xenia oh
1984,yakima-wa,yakima wa
1985,yonkers-ny,yonkers ny
1986,yorba-linda-ca,yorba linda ca
1987,york-pa,york pa
1988,youngstown-oh,youngstown oh
1989,ypsilanti-mi,ypsilanti mi
1990,yuba-city-ca,yuba city ca
1991,yucaipa-ca,yucaipa ca
1992,yucca-valley-ca,yucca valley ca
1993,yukon-ok,yukon ok
1994,yuma-az,yuma az
1995,zanesville-oh,zanesville oh
1996,zion-il,zion il
1997,4k,4k
1999,DTVAPP,DTVAPP
2000,DTVAPP,DTVAPP
2001,DTVAPP,DTVAPP
2002,DTVAPP,DTVAPP
2003,DTVAPP,DTVAPP
2004,DTVAPP,DTVAPP
2005,DTVAPP,DTVAPP
2006,DTVAPP,DTVAPP
2007,DTVAPP,DTVAPP
2008,DTVAPP,DTVAPP
2009,DTVAPP,DTVAPP
2010,DTVAPP,DTVAPP
2011,DTVAPP,DTVAPP
2012,city,city
2013,customer-service,customer service
2014,deals,deals
2015,entertainment,entertainment
2016,guide,guide
2017,internet-bundles,internet bundles
2018,movies,movies
2019,moviesanywhere,moviesanywhere
2020,moving,moving
2021,networks,networks
2022,nfl-sunday-ticket-deals,nfl sunday ticket deals
2023,packages,packages
2024,playlist,playlist
2025,premiums,premiums
2026,sports-events,sports events
2027,sports,sports
2028,sports,sports
2029,sports,sports
2030,sports,sports
2031,sports,sports
2032,sports,sports
2033,sports,sports
2034,sports,sports
2035,sports,sports
2036,sports,sports
2037,sports,sports
2038,sports,sports
2039,sports,sports
2040,sports,sports
2041,sports,sports
2042,sports,sports
2043,sports,sports
2044,sports,sports
2045,streaming-tv,streaming tv
2046,technology,technology
2047,technology,technology
2048,technology,technology
2049,technology,technology
2050,technology,technology
2051,travelers,travelers
2052,tv,tv
2055,content,content
2056,content,content
2057,content,content
2058,content,content
2059,content,content
2060,content,content
2061,content,content
2062,customer,customer
2063,global,global
2064,global,global
2065,global,global
2066,packProg,packProg
2067,register,register
2081,additional-channels,additional channels
2083,bpl_schedule,bpl schedule
2084,golf,golf
2085,mlb,mlb
2086,mlb_schedules,mlb schedules
2087,mlb_upgrade,mlb upgrade
2088,mls_schedules,mls schedules
2089,nba,nba
2090,nba_schedules,nba schedules
2091,nba_upgrade,nba upgrade
2092,nfl,nfl
2093,nfl_schedules,nfl schedules
2094,nhl,nhl
2095,nhl_schedules,nhl schedules
2096,rugby_championship_schedule,rugby championship schedule
2097,soccer,soccer
2098,soccer,soccer
2099,sports_pack,sports pack
2100,tennis,tennis
2102,compare_receivers,compare receivers
2103,connected_home,connected home
2104,dvr_receiver,dvr receiver
2105,hd_channels,hd channels
2106,protection_plan,protection plan
